Type;Instruction;Param Variant;Opcodes;Internal;Mnemonic;Param1;Param2;Param3;;Addressing mode 1;Addressing mode 2;Addressing mode 3;;;Bytes;Exec Variant;M Cycles;T States;Condition;M1;M2;M3;M4;M5;M6;Stack;M1 comment;;Instruction Group;Undocumented;User manual page;Operation;Description;Condition Bits Affected;Example
instr;9;0;2;0;ADD;A;(IX+d),(IY+d);;;Register;Indexed;;;;3;0;5;19 (4, 4, 3, 5, 3);;OCF(4);OCF(4);OD(3);CPU(5);MR(3);;;;;8-Bit Arithmetic;0;"144
145";A <- A + (IX+d);"The contents of the Index Register (register pair IX) is added to a two’s
complement displacement d to point to an address in memory. The contents
of this address is then added to the contents of the Accumulator and the
result is stored in the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if carry from bit 3, reset otherwise
P/V is set if overflow, reset otherwise
N is reset
C is set if carry from bit 7, reset otherwise";"If the Accumulator contents are 11H, the Index Register IX contains
1000H, and if the contents of memory location 1005H is 22H, at execution
of ADD A, (IX + 5H) the contents of the Accumulator are 33H."
instr;10;0;4;0;ADD;HL;BC,DE,HL,SP;;;Register Ext;Register Ext;;;;1;0;3;11 (4, 4, 3);;OCF(4);CPU(4);CPU(3);;;;;;;16-Bit Arithmetic;0;179;HL <- HL + ss;"The contents of register pair ss (any of register pairs BC, DE, HL, or SP)
are added to the contents of register pair HL and the result is stored in HL.";"S is not affected
Z is not affected
H is set if carry out of bit 11, reset otherwise
P/V is not affected
N is reset
C is set if carry from bit 15, reset otherwise";"If register pair HL contains the integer 4242H, and register pair DE contains
1111H, at execution of ADD HL, DE the HL register pair contains 5353H."
instr;10;1;4;0;ADD;IX;BC,DE,IX,SP;;;Register Ext;Register Ext;;;;2;0;4;15 (4, 4, 4, 3);;OCF(4);OCF(4);CPU(4);CPU(3);;;;;;16-Bit Arithmetic;0;182;IX <- IX + pp;"The contents of register pair pp (any of register pairs BC, DE, IX, or SP) are
added to the contents of the Index Register IX, and the results are stored in
IX.";"S is not affected
Z is not affected
H is set if carry out of bit 11, reset otherwise
P/V is not affected
N is reset
C is set if carry from bit 15, reset otherwise";"If the contents of Index Register IX are 333H, and the contents of register pair
BC are 5555H, at execution of ADD IX, BC the contents of IX are 8888H."
instr;10;2;4;0;ADD;IY;BC,DE,IY,SP;;;Register Ext;Register Ext;;;;2;0;4;15 (4, 4, 4, 3);;OCF(4);OCF(4);CPU(4);CPU(3);;;;;;16-Bit Arithmetic;0;183;IX <- IX + pp;"The contents of register pair pp (any of register pairs BC, DE, IX, or SP) are
added to the contents of the Index Register IX, and the results are stored in
IX.";"S is not affected
Z is not affected
H is set if carry out of bit 11, reset otherwise
P/V is not affected
N is reset
C is set if carry from bit 15, reset otherwise";"If the contents of Index Register IX are 333H, and the contents of register pair
BC are 5555H, at execution of ADD IX, BC the contents of IX are 8888H."
instr;11;0;1;0;AND;n;;;;Immediate;;;;;2;0;2;7 (4, 3);;OCF(4);OD(3);;;;;;;;8-Bit Arithmetic;0;152;A <- A & s;"A logical AND operation is performed between the byte specified by the s
operand and the byte contained in the Accumulator, the result is stored in
the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set
P/V is reset if overflow, reset otherwise
N is reset
C is reset";"If the B register contains 7BH (0111 1011), and the Accumulator contains
C3H (1100 0011), at execution of AND B the Accumulator contains 43H
(0100 0011)."
instr;12;0;7;0;AND;A,B,C,D,E,H,L;;;;Register;;;;;1;0;1;4;;OCF(4);;;;;;;;;8-Bit Arithmetic;0;152;A <- A & s;"A logical AND operation is performed between the byte specified by the s
operand and the byte contained in the Accumulator, the result is stored in
the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set
P/V is reset if overflow, reset otherwise
N is reset
C is reset";"If the B register contains 7BH (0111 1011), and the Accumulator contains
C3H (1100 0011), at execution of AND B the Accumulator contains 43H
(0100 0011)."
instr;12;1;4;0;AND;IXh,IXl,IYh,IYl;;;;Register;;;;;2;0;2;8 (4, 4);;OCF(4);OCF(4);;;;;;;;8-Bit Arithmetic;1;;A <- A & s;"A logical AND operation is performed between the byte specified by the s
operand and the byte contained in the Accumulator, the result is stored in
the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set
P/V is reset if overflow, reset otherwise
N is reset
C is reset";"If the B register contains 7BH (0111 1011), and the Accumulator contains
C3H (1100 0011), at execution of AND B the Accumulator contains 43H
(0100 0011)."
instr;13;0;1;0;AND;(HL);;;;Register Indirect;;;;;1;0;2;7 (4, 3);;OCF(4);MR(3);;;;;;;;8-Bit Arithmetic;0;152;A <- A & s;"A logical AND operation is performed between the byte specified by the s
operand and the byte contained in the Accumulator, the result is stored in
the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set
P/V is reset if overflow, reset otherwise
N is reset
C is reset";"If the B register contains 7BH (0111 1011), and the Accumulator contains
C3H (1100 0011), at execution of AND B the Accumulator contains 43H
(0100 0011)."
instr;14;0;2;0;AND;(IX+d),(IY+d);;;;Indexed;;;;;3;0;5;19 (4, 4, 3, 5, 3);;OCF(4);OCF(4);OD(3);CPU(5);MR(3);;;;;8-Bit Arithmetic;0;152;A <- A & s;"A logical AND operation is performed between the byte specified by the s
operand and the byte contained in the Accumulator, the result is stored in
the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set
P/V is reset if overflow, reset otherwise
N is reset
C is reset";"If the B register contains 7BH (0111 1011), and the Accumulator contains
C3H (1100 0011), at execution of AND B the Accumulator contains 43H
(0100 0011)."
instr;15;0;56;0;BIT;0,1,2,3,4,5,6,7;A,B,C,D,E,H,L;;;Bit;Register;;;;2;0;2;8 (4, 4);;OCF(4);OCF(4);;;;;;;;Bit Set, Reset, and Test;0;224;Z <- rb;This instruction tests bit b in register r and sets the Z flag accordingly.;"S is unknown
Z is set if specified bit is 0, reset otherwise
H is set
P/V is unknown
N is reset
C is not affected";"If bit 2 in register B contains 0, at execution of BIT 2, B the Z flag in the
F register contains 1, and bit 2 in register B remains 0. Bit 0 in register B is
the least-significant bit."
instr;16;0;8;0;BIT;0,1,2,3,4,5,6,7;(HL);;;Bit;Register Indirect;;;;2;0;3;12 (4, 4, 4);;OCF(4);OCF(4);MR(4);;;;;;;Bit Set, Reset, and Test;0;226;Z <- (HL)b;"This instruction tests bit b in the memory location specified by the contents
of the HL register pair and sets the Z flag accordingly.";"S is unknown
Z is set if specified Bit is 0, reset otherwise
H is set
P/V is unknown
H is reset
C is not affected";"If the HL register pair contains 4444H, and bit 4 in the memory location
444H contains 1, at execution of BIT 4, (HL) the Z flag in the F register
contains 0, and bit 4 in memory location 4444H still contains 1. Bit 0 in
memory location 4444H is the least-significant bit."
instr;17;0;16;0;BIT;0,1,2,3,4,5,6,7;(IX+d),(IY+d);;;Bit;Indexed;;;;4;0;5;20 (4, 4, 3, 5, 4);;OCF(4);OCF(4);OD(3);OC4(5);MR(4);;;;;Bit Set, Reset, and Test;0;"228
230";Z <- (IX+d)b;"This instruction tests bit b in the memory location specified by the contents
of register pair IX combined with the two’s complement displacement d
and sets the Z flag accordingly. Operand b is specified as follows in the
assembled object code.";"S is unknown
Z is set if specified Bit is 0, reset otherwise
H is set
P/V is unknown
N is reset
C is not affected";"If the contents of Index Register IX are 2000H, and bit 6 in memory
location 2004H contains 1, at execution of BIT 6, (IX+4H) the Z flag in
the F register contains 0, and bit 6 in memory location 2004H still contains
1. Bit 0 in memory location 2004H is the least-significant bit."
instr;18;0;1;0;CALL;nn;;;;Extended;;;;;3;0;5;17 (4, 3, 4, 3, 3);;OCF(4);ODL(3);ODH(4);SWH(3);SWL(3);;M3 -1, M4 -1;;;Call And Return;0;255;(SP-1) <- PCH, (SP-2) <- PCL, PC <- nn;"The current contents of the Program Counter (PC) are pushed onto the top
of the external memory stack. The operands nn are then loaded to the PC to
point to the address in memory where the first Op Code of a subroutine is to
be fetched. At the end of the subroutine, a RETurn instruction can be used
to return to the original program flow by popping the top of the stack back
to the PC. The push is accomplished by first decrementing the current
contents of the Stack Pointer (register pair SP), loading the high-order byte
of the PC contents to the memory address now pointed to by the SP, then
decrementing SP again, and loading the low order byte of the PC contents
to the top of stack.
Because this is a 3-byte instruction, the Program Counter was incremented
by three before the push is executed.";None;"If the contents of the Program Counter are 1A47H, the contents of the Stack
Pointer are 3002H, and memory locations have the contents:
1A47H contains CDH
IA48H contains 35H
1A49H contains 21H
If an instruction fetch sequence begins, the 3-byte instruction CD3521H is
fetched to the CPU for execution. The mnemonic equivalent of this is CALL
2135H. At execution of this instruction, the contents of memory address
3001H is 1AH, the contents of address 3000H is 4AH, the contents of the
Stack Pointer is 3000H, and the contents of the Program Counter is 2135H,
pointing to the address of the first Op Code of the subroutine now to be
executed."
instr;19;0;8;0;CALL;C,M,NC,NZ,P,PE,PO,Z;nn;;;Flag Cond.;Extended;;;;3;0;5;17 (4, 3, 4, 3, 3);cc == 1;OCF(4);ODL(3);ODH(4);SWH(3);SWL(3);;M3 -1, M4 -1;;;Call And Return;0;257;"IF cc true: (sp-1) <- PCH
(sp-2) <- PCL, pc <- nn";"If condition cc is true, this instruction pushes the current contents of the
Program Counter (PC) onto the top of the external memory stack, then
loads the operands nn to PC to point to the address in memory where the
first Op Code of a subroutine is to be fetched. At the end of the subroutine,
a RETurn instruction can be used to return to the original program flow by
popping the top of the stack back to PC. If condition cc is false, the
Program Counter is incremented as usual, and the program continues with
the next sequential instruction. The stack push is accomplished by first
decrementing the current contents of the Stack Pointer (SP), loading the
high-order byte of the PC contents to the memory address now pointed to
by SP, then decrementing SP again, and loading the low order byte of the
PC contents to the top of the stack.
Because this is a 3-byte instruction, the Program Counter was incremented
by three before the push is executed.
Condition cc is programmed as one of eight status that corresponds to
condition bits in the Flag Register (register F). These eight status are
defined in the table below :
Condition Flag
NZ non zero Z
Z zero Z
NC non carry C
C carry Z
PO parity odd P/V
PE parity even P/V
P sign positive S
M sign negative S";None;"are 1A47H, the contents of the Stack Pointer are 3002H, and memory
locations have the contents:
Location Contents
1A47H D4H
1448H 35H
1A49H 21H
then if an instruction fetch sequence begins, the 3-byte instruction
D43521H is fetched to the CPU for execution. The mnemonic equivalent of
this is CALL NC, 2135H. At execution of this instruction, the contents of
memory address 3001H is 1AH, the contents of address 3000H is 4AH, the
contents of the Stack Pointer is 3000H, and the contents of the Program
Counter is 2135H, pointing to the address of the first Op Code of the
subroutine now to be executed."
execvar;19;0;;0;;;;;;;;;;;3;1;3;10 (4, 3, 3);cc == 0;OCF(4);ODL(3);ODH(3);;;;;;;;;;;;;
instr;20;0;1;0;CCF;;;;;;;;;;1;0;1;4;;OCF(4);;;;;;;;;General-Purpose Arithmetic;0;170;CY <- ~CY;The Carry flag in the F register is inverted.;"S is not affected
Z is not affected
H, previous carry is copied
P/V is not affected
N is reset
C is set if CY was 0 before operation, reset otherwise";
instr;21;0;1;0;CP;n;;;;Immediate;;;;;2;0;2;7 (4, 3);;OCF(4);OD(3);;;;;;;;8-Bit Arithmetic;0;158;A - s;"The contents of the s operand are compared with the contents of the
Accumulator. If there is a true compare, the Z flag is set. The execution of
this instruction does not affect the contents of the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if borrow from bit 4, reset otherwise
P/V is set if overflow, reset otherwise
N is set
C is set if borrow, reset otherwise";"If the Accumulator contains 63H, the HL register pair contains 6000H, and
memory location 6000H contains 60H, the instruction CP (HL) results in
the PN flag in the F register resetting."
instr;22;0;7;0;CP;A,B,C,D,E,H,L;;;;Register;;;;;1;0;1;4;;OCF(4);;;;;;;;;8-Bit Arithmetic;0;158;A - s;"The contents of the s operand are compared with the contents of the
Accumulator. If there is a true compare, the Z flag is set. The execution of
this instruction does not affect the contents of the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if borrow from bit 4, reset otherwise
P/V is set if overflow, reset otherwise
N is set
C is set if borrow, reset otherwise";"If the Accumulator contains 63H, the HL register pair contains 6000H, and
memory location 6000H contains 60H, the instruction CP (HL) results in
the PN flag in the F register resetting."
instr;22;1;4;0;CP;IXh,IXl,IYh,IYl;;;;Register;;;;;2;0;2;8 (4, 4);;OCF(4);OCF(4);;;;;;;;8-Bit Arithmetic;1;;A - s;"The contents of the s operand are compared with the contents of the
Accumulator. If there is a true compare, the Z flag is set. The execution of
this instruction does not affect the contents of the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if borrow from bit 4, reset otherwise
P/V is set if overflow, reset otherwise
N is set
C is set if borrow, reset otherwise";"If the Accumulator contains 63H, the HL register pair contains 6000H, and
memory location 6000H contains 60H, the instruction CP (HL) results in
the PN flag in the F register resetting."
instr;23;0;1;0;CP;(HL);;;;Register Indirect;;;;;1;0;2;7 (4, 3);;OCF(4);MR(3);;;;;;;;8-Bit Arithmetic;0;158;A - s;"The contents of the s operand are compared with the contents of the
Accumulator. If there is a true compare, the Z flag is set. The execution of
this instruction does not affect the contents of the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if borrow from bit 4, reset otherwise
P/V is set if overflow, reset otherwise
N is set
C is set if borrow, reset otherwise";"If the Accumulator contains 63H, the HL register pair contains 6000H, and
memory location 6000H contains 60H, the instruction CP (HL) results in
the PN flag in the F register resetting."
instr;24;0;2;0;CP;(IX+d),(IY+d);;;;Indexed;;;;;3;0;5;19 (4, 4, 3, 5, 3);;OCF(4);OCF(4);OD(3);CPU(5);MR(3);;;;;8-Bit Arithmetic;0;158;A - s;"The contents of the s operand are compared with the contents of the
Accumulator. If there is a true compare, the Z flag is set. The execution of
this instruction does not affect the contents of the Accumulator.";"S is set if result is negative, reset otherwise
Z is set if result is zero, reset otherwise
H is set if borrow from bit 4, reset otherwise
P/V is set if overflow, reset otherwise
N is set
C is set if borrow, reset otherwise";"If the Accumulator contains 63H, the HL register pair contains 6000H, and
memory location 6000H contains 60H, the instruction CP (HL) results in
the PN flag in the F register resetting."
instr;25;0;1;0;CPD;;;;;;;;;;2;0;4;16 (4, 4, 3, 5);;OCF(4);OCF(4);MR(3);CPU(5);;;;;;Exchange, Block Transfer, and Search;0;137;A - (HL), HL <- HL -1, BC <- BC -1;"The contents of the memory location addressed by the HL register pair is
compared with the contents of the Accumulator. In case of a true
compare, a condition bit is set. The HL and Byte Counter (register pair
BC) are decremented.";"S is set if result is negative, reset otherwise
Z is set if A equals (HL), reset otherwise
H is set if borrow from bit 4, reset otherwise
P/V is set if BC -1 x 0, reset otherwise
N is set
C is not affected";"If the HL register pair contains 1111H, memory location 1111H contains
3BH, the Accumulator contains 3BH, and the Byte Counter contains 0001H.
At execution of CPD the Byte Counter contains 0000H, the HL register
pair contains 1110H, the flag in the F register sets, and the P/V flag in the F
register resets. There is no effect on the contents of the Accumulator or
address 1111H."
instr;26;0;1;0;CPDR;;;;;;;;;;2;0;5;21 (4, 4, 3, 5, 5);BC!=0;OCF(4);OCF(4);MR(3);CPU(5);CPU(5);;;;;Exchange, Block Transfer, and Search;0;138;A - (HL), HL <- HL -1, BC <- BC -1;"The contents of the memory location addressed by the HL register pair is
compared with the contents of the Accumulator. In case of a true compare,
a condition bit is set. The HL and BC (Byte Counter) register pairs are
decremented. If decrementing causes the BC to go to zero or if A = (HL),
the instruction is terminated. If BC is not zero and A = (HL), the program
counter is decremented by two and the instruction is repeated. Interrupts are
recognized and two refresh cycles execute after each data transfer. When
BC is set to zero, prior to instruction execution, the instruction loops
through 64 Kbytes if no match is found.";"S is set if result is negative, reset otherwise
Z is set if A = (HL), reset otherwise
H is set if borrow form bit 4, reset otherwise
P/V is set if BC -1 ? 0, reset otherwise
N is set
C is not affected";"If the HL register pair contains 1118H, the Accumulator contains F3H, the
Byte Counter contains 0007H, and memory locations have these contents.
(1118H) contains 52H
(1117H) contains 00H
(1116H) contains F3H
Then, at execution of CPDR the contents of register pair HL are 1115H,
the contents of the Byte Counter are 0004H, the P/V flag in the F register
sets, and the Z flag in the F register sets."
execvar;26;0;;0;;;;;;;;;;;2;1;4;16 (4, 4, 3, 5);BC==0;OCF(4);OCF(4);MR(3);CPU(5);;;;;;;;;;;;
instr;27;0;1;0;CPI;;;;;;;;;;2;0;4;16 (4, 4, 3, 5);;OCF(4);OCF(4);MR(3);CPU(5);;;;;;Exchange, Block Transfer, and Search;0;134;A - (HL), HL <- HL +1, BC <- BC -1;"The contents of the memory location addressed by the HL register is
compared with the contents of the Accumulator. In case of a true compare,
a condition bit is set. Then HL is incremented and the Byte Counter
(register pair BC) is decremented.";"S is set if result is negative, reset otherwise
Z is set if A is (HL), reset otherwise
H is set if borrow from bit 4, reset otherwise
P/V is set if BC -1 is not 0, reset otherwise
N is set
C is not affected";"If the HL register pair contains 1111H, memory location 1111H contains
3BH, the Accumulator contains 3BH, and the Byte Counter contains 0001H.
At execution of CPI the Byte Counter contains 0000H, the HL register
pair contains 1112H, the Z flag in the F register sets, and the P/V flag in the
F register resets. There is no effect on the contents of the Accumulator or
address 1111H."
instr;28;0;1;0;CPIR;;;;;;;;;;2;0;5;21 (4, 4, 3, 5, 5);BC!=0;OCF(4);OCF(4);MR(3);CPU(5);CPU(5);;;;;Exchange, Block Transfer, and Search;0;135;A - (HL), HL <- HL +1, BC <- BC -1;"The contents of the memory location addressed by the HL register pair is
compared with the contents of the Accumulator. In case of a true compare, a
condition bit is set. HL is incremented and the Byte Counter (register pair
BC) is decremented. If decrementing causes BC to go to zero or if A = (HL),
the instruction is terminated. If BC is not zero and A ? (HL), the program
counter is decremented by two and the instruction is repeated. Interrupts are
recognized and two refresh cycles are executed after each data transfer.
If BC is set to zero before instruction execution, the instruction loops
through 64 Kbytes if no match is found.";"S is set if result is negative, reset otherwise
Z is set if A equals (HL), reset otherwise
H is set if borrow from bit 4, reset otherwise
P/V is set if BC -1 does not equal 0, reset otherwise
N is set
C is not affected";"If the HL register pair contains 1111H, the Accumulator contains F3H, the
Byte Counter contains 0007H, and memory locations have these contents:
(1111H) contains 52H
(1112H) contains 00H
(1113H) contains F3H
Then, at execution of CPIR the contents of register pair HL is 1114H, the
contents of the Byte Counter is 0004H, the P/V flag in the F register sets,
and the Z flag in the F register sets."
execvar;28;0;;0;;;;;;;;;;;2;1;4;16 (4, 4, 3, 5);BC==0;OCF(4);OCF(4);MR(3);CPU(5);;;;;;;;;;;;
instr;29;0;1;0;CPL;;;;;;;;;;1;0;1;4;;OCF(4);;;;;;;;;General-Purpose Arithmetic;0;168;A <- ~A;"The contents of the Accumulator (register A) are inverted (one’s
complement).";"S is not affected
Z is not affected
H is set
P/V is not affected
N is set
C is not affected";"If the contents of the Accumulator are 1011 0100, at execution of CPL
the Accumulator contents are 0100 1011."
instr;30;0;1;0;DAA;;;;;;;;;;1;0;1;4;;OCF(4);;;;;;;;;General-Purpose Arithmetic;0;166;;"This instruction conditionally adjusts the Accumulator for BCD addition and
subtraction operations. For addition (ADD, ADC, INC) or subtraction (SUB,
SBC, DEC, NEG), the following table indicates the operation performed:
Operation
C Before
DAA
Hex Value In
Upper Digit
(bit 7-4)
H Before
DAA
Hex Value
In Lower
Digit
(bit 3-0)
Number
Added To
Byte
C After
DAA
0 9-0 0 0-9 00 0
0 0-8 0 A-F 06 0
0 0-9 1 0-3 06 0
ADD 0 A-F 0 0-9 60 1
ADC 0 9-F 0 A-F 66 1
INC 0 A-F 1 0-3 66 1
1 0-2 0 0-9 60 1
1 0-2 0 A-F 66 1
1 0-3 1 0-3 66 1
SUB 0 0-9 0 0-9 00 0
SBC 0 0-8 1 6-F FA 0
DEC 1 7-F 0 0-9 A0 1
NEG 1 6-7 1 6-F 9A 1";"S is set if most-significant bit of Accumulator is 1 after operation, reset
otherwise
Z is set if Accumulator is zero after operation, reset otherwise
H, see instruction
P/V is set if Accumulator is even parity after operation, reset otherwise
N is not affected
C, see instruction";"If an addition operation is performed between 15 (BCD) and 27 (BCD),
simple decimal arithmetic gives this result:
15
+27
42
But when the binary representations are added in the Accumulator
according to standard binary arithmetic.
0001 0101
+ 0010 0111
0011 1100 = 3C
the sum is ambiguous. The DAA instruction adjusts this result so that the
correct BCD representation is obtained:
0011 1100
+ 0000 0110
0100 0010 = 42"
