prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate;;;;
0xFDCB;0x22;3;1;1;0;;SLA (IY+d),D;136;0;(IY+d);D;;;;;;
0xFDCB;0x23;3;1;1;0;;SLA (IY+d),E;136;0;(IY+d);E;;;;;;
0xFDCB;0x24;3;1;1;0;;SLA (IY+d),H;136;0;(IY+d);H;;;;;;
0xFDCB;0x25;3;1;1;0;;SLA (IY+d),L;136;0;(IY+d);L;;;;;;
0xFDCB;0x26;3;1;0;0;;SLA (IY+d);135;0;(IY+d);;;;;;;
0xFDCB;0x27;3;1;1;0;;SLA (IY+d),A;136;0;(IY+d);A;;;;;;
0xFDCB;0x28;3;1;1;0;;SRA (IY+d),B;144;0;(IY+d);B;;;;;;
0xFDCB;0x29;3;1;1;0;;SRA (IY+d),C;144;0;(IY+d);C;;;;;;
0xFDCB;0x2A;3;1;1;0;;SRA (IY+d),D;144;0;(IY+d);D;;;;;;
0xFDCB;0x2B;3;1;1;0;;SRA (IY+d),E;144;0;(IY+d);E;;;;;;
0xFDCB;0x2C;3;1;1;0;;SRA (IY+d),H;144;0;(IY+d);H;;;;;;
0xFDCB;0x2D;3;1;1;0;;SRA (IY+d),L;144;0;(IY+d);L;;;;;;
0xFDCB;0x2E;3;1;0;0;;SRA (IY+d);143;0;(IY+d);;;;;;;
0xFDCB;0x2F;3;1;1;0;;SRA (IY+d),A;144;0;(IY+d);A;;;;;;
0xFDCB;0x30;3;1;1;0;;SLL (IY+d),B;140;0;(IY+d);B;;;;;;
0xFDCB;0x31;3;1;1;0;;SLL (IY+d),C;140;0;(IY+d);C;;;;;;
0xFDCB;0x32;3;1;1;0;;SLL (IY+d),D;140;0;(IY+d);D;;;;;;
0xFDCB;0x33;3;1;1;0;;SLL (IY+d),E;140;0;(IY+d);E;;;;;;
0xFDCB;0x34;3;1;1;0;;SLL (IY+d),H;140;0;(IY+d);H;;;;;;
0xFDCB;0x35;3;1;1;0;;SLL (IY+d),L;140;0;(IY+d);L;;;;;;
0xFDCB;0x36;3;1;1;0;;SLL (IY+d);139;0;(IY+d);;;;;;;
0xFDCB;0x37;3;1;1;0;;SLL (IY+d),A;140;0;(IY+d);A;;;;;;
0xFDCB;0x38;3;1;1;0;;SRL (IY+d),B;148;0;(IY+d);B;;;;;;
0xFDCB;0x39;3;1;1;0;;SRL (IY+d),C;148;0;(IY+d);C;;;;;;
0xFDCB;0x3A;3;1;1;0;;SRL (IY+d),D;148;0;(IY+d);D;;;;;;
0xFDCB;0x3B;3;1;1;0;;SRL (IY+d),E;148;0;(IY+d);E;;;;;;
0xFDCB;0x3C;3;1;1;0;;SRL (IY+d),H;148;0;(IY+d);H;;;;;;
0xFDCB;0x3D;3;1;1;0;;SRL (IY+d),L;148;0;(IY+d);L;;;;;;
0xFDCB;0x3E;3;1;0;0;;SRL (IY+d);147;0;(IY+d);;;;;;;
0xFDCB;0x3F;3;1;1;0;;SRL (IY+d),A;148;0;(IY+d);A;;;;;;
0xFDCB;0x40;3;1;1;0;;BIT 0,(IY+d);17;0;0;(IY+d);;1;;;;
0xFDCB;0x41;3;1;1;0;;BIT 0,(IY+d);17;0;0;(IY+d);;1;;;;
0xFDCB;0x42;3;1;1;0;;BIT 0,(IY+d);17;0;0;(IY+d);;1;;;;
0xFDCB;0x43;3;1;1;0;;BIT 0,(IY+d);17;0;0;(IY+d);;1;;;;
0xFDCB;0x44;3;1;1;0;;BIT 0,(IY+d);17;0;0;(IY+d);;1;;;;
0xFDCB;0x45;3;1;1;0;;BIT 0,(IY+d);17;0;0;(IY+d);;1;;;;
0xFDCB;0x46;3;1;0;0;;BIT 0,(IY+d);17;0;0;(IY+d);;;;;;
0xFDCB;0x47;3;1;1;0;;BIT 0,(IY+d);17;0;0;(IY+d);;1;;;;
0xFDCB;0x48;3;1;1;0;;BIT 1,(IY+d);17;0;1;(IY+d);;1;;;;
0xFDCB;0x49;3;1;1;0;;BIT 1,(IY+d);17;0;1;(IY+d);;1;;;;
0xFDCB;0x4A;3;1;1;0;;BIT 1,(IY+d);17;0;1;(IY+d);;1;;;;
0xFDCB;0x4B;3;1;1;0;;BIT 1,(IY+d);17;0;1;(IY+d);;1;;;;
0xFDCB;0x4C;3;1;1;0;;BIT 1,(IY+d);17;0;1;(IY+d);;1;;;;
0xFDCB;0x4D;3;1;1;0;;BIT 1,(IY+d);17;0;1;(IY+d);;1;;;;
0xFDCB;0x4E;3;1;0;0;;BIT 1,(IY+d);17;0;1;(IY+d);;;;;;
0xFDCB;0x4F;3;1;1;0;;BIT 1,(IY+d);17;0;1;(IY+d);;1;;;;
0xFDCB;0x50;3;1;1;0;;BIT 2,(IY+d);17;0;2;(IY+d);;1;;;;
0xFDCB;0x51;3;1;1;0;;BIT 2,(IY+d);17;0;2;(IY+d);;1;;;;
0xFDCB;0x52;3;1;1;0;;BIT 2,(IY+d);17;0;2;(IY+d);;1;;;;
0xFDCB;0x53;3;1;1;0;;BIT 2,(IY+d);17;0;2;(IY+d);;1;;;;
0xFDCB;0x54;3;1;1;0;;BIT 2,(IY+d);17;0;2;(IY+d);;1;;;;
0xFDCB;0x55;3;1;1;0;;BIT 2,(IY+d);17;0;2;(IY+d);;1;;;;
0xFDCB;0x56;3;1;0;0;;BIT 2,(IY+d);17;0;2;(IY+d);;;;;;
0xFDCB;0x57;3;1;1;0;;BIT 2,(IY+d);17;0;2;(IY+d);;1;;;;
0xFDCB;0x58;3;1;1;0;;BIT 3,(IY+d);17;0;3;(IY+d);;1;;;;
0xFDCB;0x59;3;1;1;0;;BIT 3,(IY+d);17;0;3;(IY+d);;1;;;;
0xFDCB;0x5A;3;1;1;0;;BIT 3,(IY+d);17;0;3;(IY+d);;1;;;;
0xFDCB;0x5B;3;1;1;0;;BIT 3,(IY+d);17;0;3;(IY+d);;1;;;;
0xFDCB;0x5C;3;1;1;0;;BIT 3,(IY+d);17;0;3;(IY+d);;1;;;;
0xFDCB;0x5D;3;1;1;0;;BIT 3,(IY+d);17;0;3;(IY+d);;1;;;;
0xFDCB;0x5E;3;1;0;0;;BIT 3,(IY+d);17;0;3;(IY+d);;;;;;
0xFDCB;0x5F;3;1;1;0;;BIT 3,(IY+d);17;0;3;(IY+d);;1;;;;
0xFDCB;0x60;3;1;1;0;;BIT 4,(IY+d);17;0;4;(IY+d);;1;;;;
0xFDCB;0x61;3;1;1;0;;BIT 4,(IY+d);17;0;4;(IY+d);;1;;;;
0xFDCB;0x62;3;1;1;0;;BIT 4,(IY+d);17;0;4;(IY+d);;1;;;;
0xFDCB;0x63;3;1;1;0;;BIT 4,(IY+d);17;0;4;(IY+d);;1;;;;
0xFDCB;0x64;3;1;1;0;;BIT 4,(IY+d);17;0;4;(IY+d);;1;;;;
0xFDCB;0x65;3;1;1;0;;BIT 4,(IY+d);17;0;4;(IY+d);;1;;;;
0xFDCB;0x66;3;1;0;0;;BIT 4,(IY+d);17;0;4;(IY+d);;;;;;
0xFDCB;0x67;3;1;1;0;;BIT 4,(IY+d);17;0;4;(IY+d);;1;;;;
0xFDCB;0x68;3;1;1;0;;BIT 5,(IY+d);17;0;5;(IY+d);;1;;;;
0xFDCB;0x69;3;1;1;0;;BIT 5,(IY+d);17;0;5;(IY+d);;1;;;;
0xFDCB;0x6A;3;1;1;0;;BIT 5,(IY+d);17;0;5;(IY+d);;1;;;;
0xFDCB;0x6B;3;1;1;0;;BIT 5,(IY+d);17;0;5;(IY+d);;1;;;;
0xFDCB;0x6C;3;1;1;0;;BIT 5,(IY+d);17;0;5;(IY+d);;1;;;;
0xFDCB;0x6D;3;1;1;0;;BIT 5,(IY+d);17;0;5;(IY+d);;1;;;;
0xFDCB;0x6E;3;1;0;0;;BIT 5,(IY+d);17;0;5;(IY+d);;;;;;
0xFDCB;0x6F;3;1;1;0;;BIT 5,(IY+d);17;0;5;(IY+d);;1;;;;
0xFDCB;0x70;3;1;1;0;;BIT 6,(IY+d);17;0;6;(IY+d);;1;;;;
0xFDCB;0x71;3;1;1;0;;BIT 6,(IY+d);17;0;6;(IY+d);;1;;;;
0xFDCB;0x72;3;1;1;0;;BIT 6,(IY+d);17;0;6;(IY+d);;1;;;;
0xFDCB;0x73;3;1;1;0;;BIT 6,(IY+d);17;0;6;(IY+d);;1;;;;
0xFDCB;0x74;3;1;1;0;;BIT 6,(IY+d);17;0;6;(IY+d);;1;;;;
0xFDCB;0x75;3;1;1;0;;BIT 6,(IY+d);17;0;6;(IY+d);;1;;;;
0xFDCB;0x76;3;1;0;0;;BIT 6,(IY+d);17;0;6;(IY+d);;;;;;
0xFDCB;0x77;3;1;1;0;;BIT 6,(IY+d);17;0;6;(IY+d);;1;;;;
0xFDCB;0x78;3;1;1;0;;BIT 7,(IY+d);17;0;7;(IY+d);;1;;;;
0xFDCB;0x79;3;1;1;0;;BIT 7,(IY+d);17;0;7;(IY+d);;1;;;;
0xFDCB;0x7A;3;1;1;0;;BIT 7,(IY+d);17;0;7;(IY+d);;1;;;;
0xFDCB;0x7B;3;1;1;0;;BIT 7,(IY+d);17;0;7;(IY+d);;1;;;;
0xFDCB;0x7C;3;1;1;0;;BIT 7,(IY+d);17;0;7;(IY+d);;1;;;;
0xFDCB;0x7D;3;1;1;0;;BIT 7,(IY+d);17;0;7;(IY+d);;1;;;;
0xFDCB;0x7E;3;1;0;0;;BIT 7,(IY+d);17;0;7;(IY+d);;;;;;
0xFDCB;0x7F;3;1;1;0;;BIT 7,(IY+d);17;0;7;(IY+d);;1;;;;
0xFDCB;0x80;3;1;1;0;;RES 0,(IY+d),B;95;0;0;(IY+d);B;;;;;
0xFDCB;0x81;3;1;1;0;;RES 0,(IY+d),C;95;0;0;(IY+d);C;;;;;
0xFDCB;0x82;3;1;1;0;;RES 0,(IY+d),D;95;0;0;(IY+d);D;;;;;
0xFDCB;0x83;3;1;1;0;;RES 0,(IY+d),E;95;0;0;(IY+d);E;;;;;
0xFDCB;0x84;3;1;1;0;;RES 0,(IY+d),H;95;0;0;(IY+d);H;;;;;
0xFDCB;0x85;3;1;1;0;;RES 0,(IY+d),L;95;0;0;(IY+d);L;;;;;
0xFDCB;0x86;3;1;0;0;;RES 0,(IY+d);94;0;0;(IY+d);;;;;;
0xFDCB;0x87;3;1;1;0;;RES 0,(IY+d),A;95;0;0;(IY+d);A;;;;;
0xFDCB;0x88;3;1;1;0;;RES 1,(IY+d),B;95;0;1;(IY+d);B;;;;;
0xFDCB;0x89;3;1;1;0;;RES 1,(IY+d),C;95;0;1;(IY+d);C;;;;;
0xFDCB;0x8A;3;1;1;0;;RES 1,(IY+d),D;95;0;1;(IY+d);D;;;;;
0xFDCB;0x8B;3;1;1;0;;RES 1,(IY+d),E;95;0;1;(IY+d);E;;;;;
0xFDCB;0x8C;3;1;1;0;;RES 1,(IY+d),H;95;0;1;(IY+d);H;;;;;
0xFDCB;0x8D;3;1;1;0;;RES 1,(IY+d),L;95;0;1;(IY+d);L;;;;;
0xFDCB;0x8E;3;1;0;0;;RES 1,(IY+d);94;0;1;(IY+d);;;;;;
0xFDCB;0x8F;3;1;1;0;;RES 1,(IY+d),A;95;0;1;(IY+d);A;;;;;
0xFDCB;0x90;3;1;1;0;;RES 2,(IY+d),B;95;0;2;(IY+d);B;;;;;
0xFDCB;0x91;3;1;1;0;;RES 2,(IY+d),C;95;0;2;(IY+d);C;;;;;
0xFDCB;0x92;3;1;1;0;;RES 2,(IY+d),D;95;0;2;(IY+d);D;;;;;
0xFDCB;0x93;3;1;1;0;;RES 2,(IY+d),E;95;0;2;(IY+d);E;;;;;
0xFDCB;0x94;3;1;1;0;;RES 2,(IY+d),H;95;0;2;(IY+d);H;;;;;
0xFDCB;0x95;3;1;1;0;;RES 2,(IY+d),L;95;0;2;(IY+d);L;;;;;
0xFDCB;0x96;3;1;0;0;;RES 2,(IY+d);94;0;2;(IY+d);;;;;;
0xFDCB;0x97;3;1;1;0;;RES 2,(IY+d),A;95;0;2;(IY+d);A;;;;;
0xFDCB;0x98;3;1;1;0;;RES 3,(IY+d),B;95;0;3;(IY+d);B;;;;;
0xFDCB;0x99;3;1;1;0;;RES 3,(IY+d),C;95;0;3;(IY+d);C;;;;;
0xFDCB;0x9A;3;1;1;0;;RES 3,(IY+d),D;95;0;3;(IY+d);D;;;;;
0xFDCB;0x9B;3;1;1;0;;RES 3,(IY+d),E;95;0;3;(IY+d);E;;;;;
0xFDCB;0x9C;3;1;1;0;;RES 3,(IY+d),H;95;0;3;(IY+d);H;;;;;
0xFDCB;0x9D;3;1;1;0;;RES 3,(IY+d),L;95;0;3;(IY+d);L;;;;;
0xFDCB;0x9E;3;1;0;0;;RES 3,(IY+d);94;0;3;(IY+d);;;;;;
0xFDCB;0x9F;3;1;1;0;;RES 3,(IY+d),A;95;0;3;(IY+d);A;;;;;
0xFDCB;0xA0;3;1;1;0;;RES 4,(IY+d),B;95;0;4;(IY+d);B;;;;;
0xFDCB;0xA1;3;1;1;0;;RES 4,(IY+d),C;95;0;4;(IY+d);C;;;;;
0xFDCB;0xA2;3;1;1;0;;RES 4,(IY+d),D;95;0;4;(IY+d);D;;;;;
0xFDCB;0xA3;3;1;1;0;;RES 4,(IY+d),E;95;0;4;(IY+d);E;;;;;
0xFDCB;0xA4;3;1;1;0;;RES 4,(IY+d),H;95;0;4;(IY+d);H;;;;;
0xFDCB;0xA5;3;1;1;0;;RES 4,(IY+d),L;95;0;4;(IY+d);L;;;;;
0xFDCB;0xA6;3;1;0;0;;RES 4,(IY+d);94;0;4;(IY+d);;;;;;
0xFDCB;0xA7;3;1;1;0;;RES 4,(IY+d),A;95;0;4;(IY+d);A;;;;;
0xFDCB;0xA8;3;1;1;0;;RES 5,(IY+d),B;95;0;5;(IY+d);B;;;;;
0xFDCB;0xA9;3;1;1;0;;RES 5,(IY+d),C;95;0;5;(IY+d);C;;;;;
0xFDCB;0xAA;3;1;1;0;;RES 5,(IY+d),D;95;0;5;(IY+d);D;;;;;
0xFDCB;0xAB;3;1;1;0;;RES 5,(IY+d),E;95;0;5;(IY+d);E;;;;;
0xFDCB;0xAC;3;1;1;0;;RES 5,(IY+d),H;95;0;5;(IY+d);H;;;;;
0xFDCB;0xAD;3;1;1;0;;RES 5,(IY+d),L;95;0;5;(IY+d);L;;;;;
0xFDCB;0xAE;3;1;0;0;;RES 5,(IY+d);94;0;5;(IY+d);;;;;;
0xFDCB;0xAF;3;1;1;0;;RES 5,(IY+d),A;95;0;5;(IY+d);A;;;;;
0xFDCB;0xB0;3;1;1;0;;RES 6,(IY+d),B;95;0;6;(IY+d);B;;;;;
0xFDCB;0xB1;3;1;1;0;;RES 6,(IY+d),C;95;0;6;(IY+d);C;;;;;
0xFDCB;0xB2;3;1;1;0;;RES 6,(IY+d),D;95;0;6;(IY+d);D;;;;;
0xFDCB;0xB3;3;1;1;0;;RES 6,(IY+d),E;95;0;6;(IY+d);E;;;;;
0xFDCB;0xB4;3;1;1;0;;RES 6,(IY+d),H;95;0;6;(IY+d);H;;;;;
0xFDCB;0xB5;3;1;1;0;;RES 6,(IY+d),L;95;0;6;(IY+d);L;;;;;
0xFDCB;0xB6;3;1;0;0;;RES 6,(IY+d);94;0;6;(IY+d);;;;;;
0xFDCB;0xB7;3;1;1;0;;RES 6,(IY+d),A;95;0;6;(IY+d);A;;;;;
0xFDCB;0xB8;3;1;1;0;;RES 7,(IY+d),B;95;0;7;(IY+d);B;;;;;
0xFDCB;0xB9;3;1;1;0;;RES 7,(IY+d),C;95;0;7;(IY+d);C;;;;;
0xFDCB;0xBA;3;1;1;0;;RES 7,(IY+d),D;95;0;7;(IY+d);D;;;;;
0xFDCB;0xBB;3;1;1;0;;RES 7,(IY+d),E;95;0;7;(IY+d);E;;;;;
0xFDCB;0xBC;3;1;1;0;;RES 7,(IY+d),H;95;0;7;(IY+d);H;;;;;
0xFDCB;0xBD;3;1;1;0;;RES 7,(IY+d),L;95;0;7;(IY+d);L;;;;;
0xFDCB;0xBE;3;1;0;0;;RES 7,(IY+d);94;0;7;(IY+d);;;;;;
0xFDCB;0xBF;3;1;1;0;;RES 7,(IY+d),A;95;0;7;(IY+d);A;;;;;
0xFDCB;0xC0;3;1;1;0;;SET 0,(IY+d),B;132;0;0;(IY+d);B;;;;;
0xFDCB;0xC1;3;1;1;0;;SET 0,(IY+d),C;132;0;0;(IY+d);C;;;;;
0xFDCB;0xC2;3;1;1;0;;SET 0,(IY+d),D;132;0;0;(IY+d);D;;;;;
0xFDCB;0xC3;3;1;1;0;;SET 0,(IY+d),E;132;0;0;(IY+d);E;;;;;
0xFDCB;0xC4;3;1;1;0;;SET 0,(IY+d),H;132;0;0;(IY+d);H;;;;;
0xFDCB;0xC5;3;1;1;0;;SET 0,(IY+d),L;132;0;0;(IY+d);L;;;;;
0xFDCB;0xC6;3;1;0;0;;SET 0,(IY+d);131;0;0;(IY+d);;;;;;
0xFDCB;0xC7;3;1;1;0;;SET 0,(IY+d),A;132;0;0;(IY+d);A;;;;;
0xFDCB;0xC8;3;1;1;0;;SET 1,(IY+d),B;132;0;1;(IY+d);B;;;;;
0xFDCB;0xC9;3;1;1;0;;SET 1,(IY+d),C;132;0;1;(IY+d);C;;;;;
0xFDCB;0xCA;3;1;1;0;;SET 1,(IY+d),D;132;0;1;(IY+d);D;;;;;
0xFDCB;0xCB;3;1;1;0;;SET 1,(IY+d),E;132;0;1;(IY+d);E;;;;;
0xFDCB;0xCC;3;1;1;0;;SET 1,(IY+d),H;132;0;1;(IY+d);H;;;;;
0xFDCB;0xCD;3;1;1;0;;SET 1,(IY+d),L;132;0;1;(IY+d);L;;;;;
0xFDCB;0xCE;3;1;0;0;;SET 1,(IY+d);131;0;1;(IY+d);;;;;;
0xFDCB;0xCF;3;1;1;0;;SET 1,(IY+d),A;132;0;1;(IY+d);A;;;;;
0xFDCB;0xD0;3;1;1;0;;SET 2,(IY+d),B;132;0;2;(IY+d);B;;;;;
0xFDCB;0xD1;3;1;1;0;;SET 2,(IY+d),C;132;0;2;(IY+d);C;;;;;
0xFDCB;0xD2;3;1;1;0;;SET 2,(IY+d),D;132;0;2;(IY+d);D;;;;;
0xFDCB;0xD3;3;1;1;0;;SET 2,(IY+d),E;132;0;2;(IY+d);E;;;;;
0xFDCB;0xD4;3;1;1;0;;SET 2,(IY+d),H;132;0;2;(IY+d);H;;;;;
0xFDCB;0xD5;3;1;1;0;;SET 2,(IY+d),L;132;0;2;(IY+d);L;;;;;
0xFDCB;0xD6;3;1;0;0;;SET 2,(IY+d);131;0;2;(IY+d);;;;;;
0xFDCB;0xD7;3;1;1;0;;SET 2,(IY+d),A;132;0;2;(IY+d);A;;;;;
0xFDCB;0xD8;3;1;1;0;;SET 3,(IY+d),B;132;0;3;(IY+d);B;;;;;
0xFDCB;0xD9;3;1;1;0;;SET 3,(IY+d),C;132;0;3;(IY+d);C;;;;;
0xFDCB;0xDA;3;1;1;0;;SET 3,(IY+d),D;132;0;3;(IY+d);D;;;;;
0xFDCB;0xDB;3;1;1;0;;SET 3,(IY+d),E;132;0;3;(IY+d);E;;;;;
0xFDCB;0xDC;3;1;1;0;;SET 3,(IY+d),H;132;0;3;(IY+d);H;;;;;
0xFDCB;0xDD;3;1;1;0;;SET 3,(IY+d),L;132;0;3;(IY+d);L;;;;;
0xFDCB;0xDE;3;1;0;0;;SET 3,(IY+d);131;0;3;(IY+d);;;;;;
0xFDCB;0xDF;3;1;1;0;;SET 3,(IY+d),A;132;0;3;(IY+d);A;;;;;
0xFDCB;0xE0;3;1;1;0;;SET 4,(IY+d),B;132;0;4;(IY+d);B;;;;;
0xFDCB;0xE1;3;1;1;0;;SET 4,(IY+d),C;132;0;4;(IY+d);C;;;;;
0xFDCB;0xE2;3;1;1;0;;SET 4,(IY+d),D;132;0;4;(IY+d);D;;;;;
0xFDCB;0xE3;3;1;1;0;;SET 4,(IY+d),E;132;0;4;(IY+d);E;;;;;
0xFDCB;0xE4;3;1;1;0;;SET 4,(IY+d),H;132;0;4;(IY+d);H;;;;;
0xFDCB;0xE5;3;1;1;0;;SET 4,(IY+d),L;132;0;4;(IY+d);L;;;;;
0xFDCB;0xE6;3;1;0;0;;SET 4,(IY+d);131;0;4;(IY+d);;;;;;
0xFDCB;0xE7;3;1;1;0;;SET 4,(IY+d),A;132;0;4;(IY+d);A;;;;;
0xFDCB;0xE8;3;1;1;0;;SET 5,(IY+d),B;132;0;5;(IY+d);B;;;;;
0xFDCB;0xE9;3;1;1;0;;SET 5,(IY+d),C;132;0;5;(IY+d);C;;;;;
0xFDCB;0xEA;3;1;1;0;;SET 5,(IY+d),D;132;0;5;(IY+d);D;;;;;
0xFDCB;0xEB;3;1;1;0;;SET 5,(IY+d),E;132;0;5;(IY+d);E;;;;;
0xFDCB;0xEC;3;1;1;0;;SET 5,(IY+d),H;132;0;5;(IY+d);H;;;;;
0xFDCB;0xED;3;1;1;0;;SET 5,(IY+d),L;132;0;5;(IY+d);L;;;;;
0xFDCB;0xEE;3;1;0;0;;SET 5,(IY+d);131;0;5;(IY+d);;;;;;
0xFDCB;0xEF;3;1;1;0;;SET 5,(IY+d),A;132;0;5;(IY+d);A;;;;;
0xFDCB;0xF0;3;1;1;0;;SET 6,(IY+d),B;132;0;6;(IY+d);B;;;;;
0xFDCB;0xF1;3;1;1;0;;SET 6,(IY+d),C;132;0;6;(IY+d);C;;;;;
0xFDCB;0xF2;3;1;1;0;;SET 6,(IY+d),D;132;0;6;(IY+d);D;;;;;
0xFDCB;0xF3;3;1;1;0;;SET 6,(IY+d),E;132;0;6;(IY+d);E;;;;;
0xFDCB;0xF4;3;1;1;0;;SET 6,(IY+d),H;132;0;6;(IY+d);H;;;;;
0xFDCB;0xF5;3;1;1;0;;SET 6,(IY+d),L;132;0;6;(IY+d);L;;;;;
0xFDCB;0xF6;3;1;0;0;;SET 6,(IY+d);131;0;6;(IY+d);;;;;;
0xFDCB;0xF7;3;1;1;0;;SET 6,(IY+d),A;132;0;6;(IY+d);A;;;;;
0xFDCB;0xF8;3;1;1;0;;SET 7,(IY+d),B;132;0;7;(IY+d);B;;;;;
0xFDCB;0xF9;3;1;1;0;;SET 7,(IY+d),C;132;0;7;(IY+d);C;;;;;
0xFDCB;0xFA;3;1;1;0;;SET 7,(IY+d),D;132;0;7;(IY+d);D;;;;;
0xFDCB;0xFB;3;1;1;0;;SET 7,(IY+d),E;132;0;7;(IY+d);E;;;;;
0xFDCB;0xFC;3;1;1;0;;SET 7,(IY+d),H;132;0;7;(IY+d);H;;;;;
0xFDCB;0xFD;3;1;1;0;;SET 7,(IY+d),L;132;0;7;(IY+d);L;;;;;
0xFDCB;0xFE;3;1;0;0;;SET 7,(IY+d);131;0;7;(IY+d);;;;;;
0xFDCB;0xFF;3;1;1;0;;SET 7,(IY+d),A;132;0;7;(IY+d);A;;;;;
